signal_timestamp,model,prediction,short_threshold,long_threshold,raw_signal,final_signal,signal_reason,date,fold_id,research_row_id
2024-07-01 00:00:57.698521+00:00,qi_direct_baseline,-2.57032851251e-05,-2.28670200864e-05,2.28848371891e-05,-1,-1,SHORT_THRESHOLD,2024-07-01,1,560
2024-07-01 00:00:58.698521+00:00,qi_direct_baseline,-2.47745380453e-05,-2.28670200864e-05,2.28848371891e-05,-1,-1,SHORT_THRESHOLD,2024-07-01,1,570
2024-07-01 00:01:34.698521+00:00,qi_direct_baseline,-2.56954071292e-05,-2.28670200864e-05,2.28848371891e-05,-1,-1,SHORT_THRESHOLD,2024-07-01,1,930
2024-07-01 00:01:35.698521+00:00,qi_direct_baseline,-2.54729625907e-05,-2.28670200864e-05,2.28848371891e-05,-1,-1,SHORT_THRESHOLD,2024-07-01,1,940
2024-07-01 00:00:01.698521+00:00,qi_direct_baseline,-1.56648321204e-05,-2.28670200864e-05,2.28848371891e-05,0,0,DAY_BOUNDARY_FLAT,2024-07-01,1,0
2024-07-01 00:00:02.698521+00:00,qi_direct_baseline,-1.83478123496e-05,-2.28670200864e-05,2.28848371891e-05,0,0,INSIDE_BAND,2024-07-01,1,10
2024-07-01 00:00:03.698521+00:00,qi_direct_baseline,3.93074904789e-06,-2.28670200864e-05,2.28848371891e-05,0,0,INSIDE_BAND,2024-07-01,1,20
2024-07-01 00:00:04.698521+00:00,qi_direct_baseline,1.0889290746e-05,-2.28670200864e-05,2.28848371891e-05,0,0,INSIDE_BAND,2024-07-01,1,30
2024-07-01 00:00:45.698521+00:00,qi_direct_baseline,2.47450282032e-05,-2.28670200864e-05,2.28848371891e-05,1,1,LONG_THRESHOLD,2024-07-01,1,440
2024-07-01 00:01:03.698521+00:00,qi_direct_baseline,2.41854919944e-05,-2.28670200864e-05,2.28848371891e-05,1,1,LONG_THRESHOLD,2024-07-01,1,620
2024-07-01 00:01:06.698521+00:00,qi_direct_baseline,2.33589222071e-05,-2.28670200864e-05,2.28848371891e-05,1,1,LONG_THRESHOLD,2024-07-01,1,650
2024-07-01 00:01:08.698521+00:00,qi_direct_baseline,2.29465273897e-05,-2.28670200864e-05,2.28848371891e-05,1,1,LONG_THRESHOLD,2024-07-01,1,670
2024-07-01 15:42:14.698521+00:00,qi_direct_baseline,2.28848374122e-05,-2.28670200864e-05,2.28848371891e-05,1,1,LONG_THRESHOLD,2024-07-01,1,565330
2024-08-01 12:12:17.276568+00:00,qi_direct_baseline,2.24899639134e-05,-2.23274628954e-05,2.24899633535e-05,1,1,LONG_THRESHOLD,2024-08-01,2,439360
2024-07-01 11:58:44.698521+00:00,qi_direct_baseline,-2.28670380671e-05,-2.28670200864e-05,2.28848371891e-05,-1,-1,SHORT_THRESHOLD,2024-07-01,1,431230
2025-02-01 16:59:22.796439+00:00,qi_direct_baseline,2.32982848535e-05,-2.3092557903e-05,2.32983249003e-05,0,0,INSIDE_BAND,2025-02-01,8,611620
2024-07-01 00:00:17.698521+00:00,lightgbm_qi_ofi,-3.36843163487e-05,-2.24550726138e-05,2.43828703483e-05,-1,-1,SHORT_THRESHOLD,2024-07-01,1,160
2024-07-01 00:00:18.698521+00:00,lightgbm_qi_ofi,-2.9319564443e-05,-2.24550726138e-05,2.43828703483e-05,-1,-1,SHORT_THRESHOLD,2024-07-01,1,170
2024-07-01 00:00:57.698521+00:00,lightgbm_qi_ofi,-4.91604693155e-05,-2.24550726138e-05,2.43828703483e-05,-1,-1,SHORT_THRESHOLD,2024-07-01,1,560
2024-07-01 00:00:58.698521+00:00,lightgbm_qi_ofi,-4.40745601123e-05,-2.24550726138e-05,2.43828703483e-05,-1,-1,SHORT_THRESHOLD,2024-07-01,1,570
2024-07-01 00:00:01.698521+00:00,lightgbm_qi_ofi,-5.01108420082e-06,-2.24550726138e-05,2.43828703483e-05,0,0,DAY_BOUNDARY_FLAT,2024-07-01,1,0
2024-07-01 00:00:02.698521+00:00,lightgbm_qi_ofi,-1.41072223358e-05,-2.24550726138e-05,2.43828703483e-05,0,0,INSIDE_BAND,2024-07-01,1,10
2024-07-01 00:00:03.698521+00:00,lightgbm_qi_ofi,5.96202666736e-06,-2.24550726138e-05,2.43828703483e-05,0,0,INSIDE_BAND,2024-07-01,1,20
2024-07-01 00:00:04.698521+00:00,lightgbm_qi_ofi,9.93917114852e-06,-2.24550726138e-05,2.43828703483e-05,0,0,INSIDE_BAND,2024-07-01,1,30
2024-07-01 00:00:05.698521+00:00,lightgbm_qi_ofi,2.64532777706e-05,-2.24550726138e-05,2.43828703483e-05,1,1,LONG_THRESHOLD,2024-07-01,1,40
2024-07-01 00:00:39.698521+00:00,lightgbm_qi_ofi,2.65852623887e-05,-2.24550726138e-05,2.43828703483e-05,1,1,LONG_THRESHOLD,2024-07-01,1,380
2024-07-01 00:01:03.698521+00:00,lightgbm_qi_ofi,3.97760140584e-05,-2.24550726138e-05,2.43828703483e-05,1,1,LONG_THRESHOLD,2024-07-01,1,620
2024-07-01 00:01:06.698521+00:00,lightgbm_qi_ofi,3.72627766338e-05,-2.24550726138e-05,2.43828703483e-05,1,1,LONG_THRESHOLD,2024-07-01,1,650
2025-05-01 13:25:20.838467+00:00,lightgbm_qi_ofi,-2.33142086577e-05,-2.33142086577e-05,2.35458639732e-05,-1,-1,SHORT_THRESHOLD,2025-05-01,11,483200
2024-10-01 19:54:12.777271+00:00,lightgbm_qi_ofi,-2.51221946174e-05,-2.51221946174e-05,2.5539114988e-05,-1,-1,SHORT_THRESHOLD,2024-10-01,4,716520
2024-10-01 19:53:09.777271+00:00,lightgbm_qi_ofi,-2.51221946174e-05,-2.51221946174e-05,2.5539114988e-05,-1,-1,SHORT_THRESHOLD,2024-10-01,4,715890
2024-10-01 19:51:59.777271+00:00,lightgbm_qi_ofi,-2.51221946174e-05,-2.51221946174e-05,2.5539114988e-05,-1,-1,SHORT_THRESHOLD,2024-10-01,4,715190
2024-07-01 00:00:17.698521+00:00,lightgbm_extended,-2.79855443651e-05,-2.30016236732e-05,2.36144536877e-05,-1,-1,SHORT_THRESHOLD,2024-07-01,1,160
2024-07-01 00:00:18.698521+00:00,lightgbm_extended,-3.62833579453e-05,-2.30016236732e-05,2.36144536877e-05,-1,-1,SHORT_THRESHOLD,2024-07-01,1,170
2024-07-01 00:00:57.698521+00:00,lightgbm_extended,-5.72571155787e-05,-2.30016236732e-05,2.36144536877e-05,-1,-1,SHORT_THRESHOLD,2024-07-01,1,560
2024-07-01 00:00:58.698521+00:00,lightgbm_extended,-3.94467311596e-05,-2.30016236732e-05,2.36144536877e-05,-1,-1,SHORT_THRESHOLD,2024-07-01,1,570
2024-07-01 00:00:01.698521+00:00,lightgbm_extended,-1.2560775998e-05,-2.30016236732e-05,2.36144536877e-05,0,0,DAY_BOUNDARY_FLAT,2024-07-01,1,0
2024-07-01 00:00:02.698521+00:00,lightgbm_extended,-1.41850460023e-05,-2.30016236732e-05,2.36144536877e-05,0,0,INSIDE_BAND,2024-07-01,1,10
2024-07-01 00:00:03.698521+00:00,lightgbm_extended,2.24190143176e-06,-2.30016236732e-05,2.36144536877e-05,0,0,INSIDE_BAND,2024-07-01,1,20
2024-07-01 00:00:04.698521+00:00,lightgbm_extended,1.36712150395e-05,-2.30016236732e-05,2.36144536877e-05,0,0,INSIDE_BAND,2024-07-01,1,30
2024-07-01 00:00:05.698521+00:00,lightgbm_extended,2.75174957542e-05,-2.30016236732e-05,2.36144536877e-05,1,1,LONG_THRESHOLD,2024-07-01,1,40
2024-07-01 00:00:45.698521+00:00,lightgbm_extended,2.53686896126e-05,-2.30016236732e-05,2.36144536877e-05,1,1,LONG_THRESHOLD,2024-07-01,1,440
